id,coname,loc_search,reason,year
20037,Frances A. Cilente Circle,Adlai Circle in its entirety,Borough of Staten Island,2003
20038,Mary Lou Langley Avenue,Mobile Avenue between Coverly Street and Dalton Avenue,Borough of Staten Island,2003
20039,Firefighter Nicholas Rossomando Court,Dawson Court in its entirety,Borough of Staten Island,2003
200315,Joann Smith Tabeek Avenue,Cedar Grove Avenue between Garibaldi Avenue and Marine Way,Borough of Staten Island,2003
200316,Firefighter Daniel Libretti Avenue,Ridgewood Avenue between Barlow Avenue and Leverett Avenue,Borough of Staten Island,2003
200318,Firefighter Michael J. Clarke Avenue,Valdemar Avenue between Foster Road and Queensdale Street,Borough of Staten Island,2003
200321,Firefighter Carl E. Molinaro Lane,Blueberry Lane in its entirety,Borough of Staten Island,2003
200322,Joseph “Joe” Grillo Lane,Strawberry Lane in its entirety,Borough of Staten Island,2003
200325,Joe Doyle Circle,Luna Circle in its entirety,Borough of Staten Island,2003
200331,Anthony Tempesta Avenue,Clarke Avenue between Amber Street and Cotter Avenue,Borough of Staten Island,2003
200344,Keith Roma Place,Morton Street from Wilder Avenue east to the end of the street,Borough of Staten Island,2003
200371,Doreen J. Angrisani Street,Madison Street from 64th Street east to the end of the street,Borough of Queens,2003
200372,Barbara Guzzardo Street,65th Street from 68th Avenue north to the end of the street,Borough of Queens,2003
200374,"Lt. Joseph Agnello Ladder 118, FDNY Street",Thomas Street between McKinley Avenue and Gilbert Street,Borough of Staten Island,2003
200379,Karen C. Renda Place,Keating Place between Travis Avenue and Rockland Avenue,Borough of Staten Island,2003
200384,Officer Thomas M. Langone and Officer Paul Talty Way,37th Avenue between Union Street and Bowne Street,Paul Talty,2003
200390,Lucy’s Lane,Just Court between Bartlett Place and Cyrus Avenue,Borough of Brooklyn,2003
200396,Captain Michael Esposito Avenue,Kensington Avenue between McClean Avenue and Foch Avenue,Borough of Staten Island,2003
2003104,Frances A. Cilente Circle,Adlai Circle in its entirety,,2003
2003105,Mary Lou Langley Avenue,Mobile Avenue between Coverly Street and Dalton Avenue,,2003
2003106,Firefighter Nicholas Rossomando Court,Dawson Court in its entirety,,2003
2003112,Joann Smith Tabeek Avenue,Cedar Grove Avenue between Garibaldi Avenue and Marine Way,,2003
2003113,Firefighter Daniel Libretti Avenue,Ridgewood Avenue between Barlow Avenue and Leverett Avenue,,2003
2003115,Firefighter Michael J. Clarke Avenue,Valdemar Avenue between Foster Road and Queensdale Street,,2003
2003118,Firefighter Carl E. Molinaro Lane,Blueberry Lane in its entirety,,2003
2003119,Joseph “Joe” Grillo Lane,Strawberry Lane in its entirety,,2003
2003122,Joe Doyle Circle,Luna Circle in its entirety,,2003
2003128,Anthony Tempesta Avenue,Clarke Avenue between Amber Street and Cotter Avenue,,2003
2003141,Keith Roma Place,Morton Street from Wilder Avenue east to the end of the street,,2003
2003168,Doreen J. Angrisani Street,Madison Street from 64th Street east to the end of the street,,2003
2003169,Barbara Guzzardo Street,65th Street from 68th Avenue north to the end of the street,,2003
2003171,"Lt. Joseph Agnello Ladder 118, FDNY Street",Thomas Street between McKinley Avenue and Gilbert Street,,2003
2003176,Karen C. Renda Place,Keating Place between Travis Avenue and Rockland Avenue,,2003
2003181,Officer Thomas M. Langone and Officer Paul Talty Way,37th Avenue between Union Street and Bowne Street,,2003
2003187,Lucy’s Lane,Just Court between Bartlett Place and Cyrus Avenue,,2003
2003193,Captain Michael Esposito Avenue,Kensington Avenue between McClean Avenue and Foch Avenue,,2003
2003208,"Rev. Dr. William A. Epps, Jr. Place",none the northeast corner of the intersection of Bennett Street and Park Avenue,"The Rev. Dr. William A. Epps, Jr. was 91 when he died, after being ill for over a year.  Rev.  Epps worked with over 20 causes, civic and fraternal organizations.  He was the pastor of St.  Philip’s  Baptist Church in Port Richmond, Staten Island, and had also served as the state-assigned Protestant Chaplain at the Arthur Kill Correctional Facility for many years.At age 9, he and his parents, the Rev. William Ashford Epps, Sr. and Hattie Pearl, along with his 6 siblings, left Columbus, Georgia for a Jersey City, New Jersey church.  A lover of learning, he would graduate from Jersey City Preparatory School with honors in Greek.  He would go on to attend the National Bible Institute in Manhattan, Bloomfield College and Seminary, and Evangel College and Seminary, where he would earn a bachelor’s degree in theology.  Later, he would earn graduate degrees in theology, and do his pastoral training at the Rikers Island jail.In the late 1930’s, he became interested in politics.  For 12 years he barnstormed for Republicans, often with his father as his companion.  Along the way he was a draftsman, cook, elevator operator and insurance collection agent.  In 1954 he accepted the leadership of St. Philip’s Baptist Church, beginning a relationship with Staten Islanders that would only grow and flourish.  In 1992 he semi-retired from St. Philips, becoming pastor emeritus.",2003
2003209,Cheryl White Place,none the southeast corner of the intersection of Hill Street and Warren Street,"Cheryl White Quaye, 46, a Stapleton resident and coordinator of the Fresh Air Fund, died on June 20, 1997.  Born in Waco, Texas, she moved to Inwood in 1959, and settled in Stapleton in 1978.  Ms.  Quaye coordinated the registration of Staten Island children and supervised their departures and return trips with the Fresh Air Fund.  She was a member of the Grandmothers and Friends club.",2003
2003212,Mt. Carmel Way,White Plains Avenue between St. Mary’s Avenue and Amity Street,"The Society of Our Lady of Mount Carmel was founded in 1903 as a self-help organization open to immigrant Italians, irrespective of their towns of origin or native regional affiliations in the old country.  It was under the tenure of the society's first president Joseph A. Palma (1903-1914) that the organization purchased land and erected a meeting hall on White Plains Avenue between St. Mary's Avenue, and Amity Street in Rosebank, Staten Island.In 1937, Vito Russo, and 46 other members of the Society, built a shrine honoring Our Lady of Mount Carmel, on Amity Street around the corner from Mount Carmel Hall.  The serpentine grotto is built out of stone blocks, brick, and cement.  It has a central chapel housing a statue of Our Lady of Mt.  Carmel, which is flanked by two wings.  The grotto's surface is decorated with stones, shells, bicycle reflectors, marbles, and glass flowers inlaid in cement in a variety of shapes such as ovals, diamonds, crosses, and stars.  Niches and shelves hold a host of Catholic saints such as St.  Jude, St.  Anthony of Pauda, St.  Anne, St.  Lucy, and others.  Vito Russo acted as custodian to this property until his death in 1954.In 2001, the property where the Our Lady of Mount Carmel’s Grotto and Meeting Hall stands was placed on the New York and National Registers of Historic Places.  It was listed as a “traditional cultural property,” a site associated “with cultural practices or beliefs of a living community's history, and are important in maintaining the continuing cultural identity of the community.” The year 2003 marks the Society's 100th year of service to the Rosebank Community.",2003
2003221,Saint Malachy’s Way,West 49th Street between 8th Avenue and Broadway,"Manhattan Community Board No. 5 has approved the renaming of 49th Street between Broadway and 8th Avenue to honor St. Malachy Catholic Church’s 100 years of service to New York City.  For eighty of the 100 years, St. Malachy’s has served the interesting function of providing a spiritual home to the theatrical community, which is why it came to be known as “The Actors’ Chapel.”  St. Malachy’s was also involved in the Mayor’s Midtown Citizens Committee.  St. Malachy’s furthers its vision of service to the community with Encore Community Services, which is a program to feed and help the elderly poor, as well as provide a residence for these individuals, across the street from the Church.October 2002 through October 2003 will be the Centennial celebration for St. Malachy’s Catholic Church.  For an institution that has given so much to the City of New York, there seems no better tribute than to name the street in its honor.",2003
2003235,Firefighter Thomas R. Kelly,99th Avenue between 97th Street,,2003
